Schoolid,School Name,r1617,r1718,r1819,KG2.1,E2.1,M2.1,H2.1,KG2.2,E2.2,M2.2,H2.2,KG2.3,E2.3,M2.3,H2.3,KG3.1,E3.1,M3.1,H3.1,KG3.2,E3.2,M3.2,H3.2,KG4.1,E4.1,M4.1,H4.1,KG4.2,E4.2,M4.2,H4.2,KG5.1,E5.1,M5.1,H5.1,KG5.2,E5.2,M5.2,H5.2,P6.1,P6.2,P6.3,P6.4,P6.5
87,GreenField Community School,3,3,3,5,5,5,5,5,4,4,4,5,4,4,5,3,3,4,3,3,3,3,3,4,4,4,5,4,3,3,5,4,4,4,4,4,4,4,5,3,3,4,3,4
88,Greenwood International School,3,3,3,4,4,4,5,5,4,4,5,4,4,4,4,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,5,5,5,5,3,3,3,3,3,2,4,3,3
89,Gulf Indian High School,2,2,2,4,4,4,4,3,4,5,5,3,3,3,5,3,2,2,3,3,2,2,3,3,3,3,3,3,2,2,2,4,4,4,4,3,3,3,3,2,2,3,2,2
90,Gulf Model School,1,1,1,3,3,3,3,3,2,2,3,2,2,3,3,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1
91,H. H. Shaikh Rashid Al Maktoum Pakistani School,1,1,2,3,3,3,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
92,Hartland International School,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Horizon International School - LLC,3,3,3,5,5,5,5,4,4,3,3,4,3,3,3,4,3,3,3,4,3,3,3,5,3,3,3,5,3,3,3,5,5,5,5,5,4,4,4,4,3,4,4,4
94,Horizons English School,4,4,5,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,4,,,5,5,,,5,5,,,5,5,5,5,5
95,International Academic School,1,2,2,3,3,3,3,3,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,3,2,2
96,INTERNATIONAL CONCEPT EDUCATION,3,3,2,4,4,4,0,3,3,3,0,3,3,3,0,3,3,3,0,2,2,2,0,4,4,4,0,3,3,3,0,4,4,4,0,2,2,2,0,2,2,4,2,4
97,International School of Arts & Sciences,3,3,3,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,5,5,5,5,4,3,3,3,3,3,3,3,4
98,International School of Creative Science,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Iranian Khadije Kobra School,2,2,2,,4,4,4,,3,4,4,,2,3,3,,2,3,3,,2,2,2,,2,2,2,,2,2,2,,3,3,3,,3,3,3,2,2,4,2,2
100,Iranian Salman Farsi Boys School,2,2,2,,3,3,4,,3,3,3,,3,3,3,,2,3,3,,2,2,2,,2,2,3,,3,3,3,,3,3,3,,3,3,3,2,2,4,2,2
102,Iranian Towheed Boys School,3,3,3,4,4,4,5,4,4,4,4,3,3,4,4,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,3,5,3,4
101,Iranian Towheed Girls School,2,2,2,4,5,5,5,3,4,4,4,2,3,3,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,2,2,4,2,3
